key,cena,abs_rel,sq_rel,rmse,rmse_log,log10,d1,d2,d3,boundary_precision,boundary_recall,boundary_fscore,boundary_fmax,boundary_fmax_thresh,boundary_precision_at_fmax,boundary_recall_at_fmax,boundary_f_auc
seq0020__left_0045,seq0020,0.7629312872886658,5.834987640380859,12.08299446105957,2.3120036125183105,0.47370949387550354,0.15281124413013458,0.20191599428653717,0.6398504376411438,0.12593169510364532,0.5538617968559265,0.20520571543031402,0.6528869250536988,0.04,0.5286485552787781,0.8534595370292664,0.31005801925047527
seq0020__left_0049,seq0020,0.684292733669281,5.005021095275879,11.759551048278809,2.207716226577759,0.41094881296157837,0.16623163223266602,0.24420343339443207,0.6576632261276245,0.13767950236797333,0.5867237448692322,0.22302449230909732,0.6919686975739143,0.04,0.5734707713127136,0.8721923232078552,0.3334367705555041
seq0020__left_0053,seq0020,0.7693384885787964,5.592268466949463,11.961954116821289,2.1519482135772705,0.4528406858444214,0.12437867373228073,0.18703339993953705,0.6091791987419128,0.1500379890203476,0.471331387758255,0.22761859925586692,0.709246076963684,0.04,0.6114895343780518,0.8442061543464661,0.3273338656627335
seq0020__left_0057,seq0020,0.6666073203086853,5.142629623413086,12.026223182678223,0.7321047782897949,0.2809884548187256,0.1555441915988922,0.24815082550048828,0.5830748081207275,0.16255268454551697,0.5073937177658081,0.24622331177482681,0.7583142828627979,0.04,0.6752197742462158,0.8647305369377136,0.34265813729620626
seq0020__left_0061,seq0020,0.6695197224617004,5.1487040519714355,11.77329158782959,0.8139079213142395,0.2963569164276123,0.15669186413288116,0.2516067922115326,0.5709475874900818,0.18592843413352966,0.468595027923584,0.26622464994841405,0.7636179012656664,0.04,0.6932953000068665,0.8498168587684631,0.3482567766459058
seq0020__left_0065,seq0020,0.5551520586013794,4.26833438873291,11.348488807678223,0.6262567043304443,0.23821969330310822,0.12575949728488922,0.36901819705963135,0.7839066982269287,0.32973170280456543,0.4652087390422821,0.3859259426469817,0.803097322796761,0.04,0.7828114628791809,0.8244625329971313,0.387917921954139
seq0020__left_0069,seq0020,0.5768327116966248,4.857794761657715,11.582343101501465,0.6206275224685669,0.23480138182640076,0.16654418408870697,0.37912067770957947,0.6549969911575317,0.33003219962120056,0.364632248878479,0.3464705395823779,0.7669842217972891,0.04,0.7867193818092346,0.7482149600982666,0.3687167244824982
seq0020__left_0073,seq0020,0.6627236008644104,5.550345420837402,11.915331840515137,0.6671225428581238,0.25965186953544617,0.11980921030044556,0.26675066351890564,0.5651390552520752,0.3009178638458252,0.27716729044914246,0.2885546821267587,0.7060031437202221,0.04,0.7466915249824524,0.6695199608802795,0.3401581607082113
seq0020__left_0077,seq0020,0.7759934663772583,6.083146095275879,11.976274490356445,0.8515041470527649,0.33144623041152954,0.08364763110876083,0.11717816442251205,0.4270416796207428,0.254207581281662,0.20894308388233185,0.2293634446598577,0.6981683161122845,0.04,0.7592441439628601,0.6461871266365051,0.3065979857437615
seq0020__left_0081,seq0020,0.8165730834007263,6.095043182373047,11.516580581665039,4.3782267570495605,0.8912244439125061,0.09138419479131699,0.14721861481666565,0.537547767162323,0.3148425817489624,0.5965048670768738,0.41214825941142286,0.8097261039747968,0.04,0.7594236135482788,0.8671651482582092,0.393018980144208
seq0020__left_0085,seq0020,0.8051664233207703,5.950139999389648,11.401758193969727,3.8788537979125977,0.795147716999054,0.08219306170940399,0.12863658368587494,0.5169976353645325,0.2757754623889923,0.2298307716846466,0.25071560855525815,0.7670641313888925,0.04,0.7563367486000061,0.7781001925468445,0.31512900671527133
